 INFO  Accepting connections at http://127.0.0.1:3001
 HTTP  4/24/2026 6:54:11 PM 127.0.0.1 GET /about-us.txt?_rsc=3lb4g
 HTTP  4/24/2026 6:54:11 PM 127.0.0.1 Returned 200 in 53 ms
 HTTP  4/24/2026 6:54:11 PM 127.0.0.1 GET /_next/static/chunks/app/about-us/page-f59c96c2c7ab0677.js
 HTTP  4/24/2026 6:54:11 PM 127.0.0.1 Returned 200 in 100 ms
 HTTP  4/24/2026 6:54:17 PM 127.0.0.1 GET /news-blogs/rising-prices-burden-on-students.txt?_rsc=3lb4g
 HTTP  4/24/2026 6:54:17 PM 127.0.0.1 GET /news-blogs/msl-hope-for-students.txt?_rsc=3lb4g
 HTTP  4/24/2026 6:54:17 PM 127.0.0.1 GET /news-blogs/teaching-quran.txt?_rsc=3lb4g
 HTTP  4/24/2026 6:54:17 PM 127.0.0.1 Returned 404 in 12 ms
 HTTP  4/24/2026 6:54:17 PM 127.0.0.1 Returned 404 in 17 ms
 HTTP  4/24/2026 6:54:17 PM 127.0.0.1 Returned 404 in 8 ms
 HTTP  4/24/2026 6:54:18 PM 127.0.0.1 GET /news-blogs/ex-president-ans-muhsi.txt?_rsc=3lb4g
 HTTP  4/24/2026 6:54:18 PM 127.0.0.1 GET /news-blogs/farewell-ans-muhsi.txt?_rsc=3lb4g
 HTTP  4/24/2026 6:54:18 PM 127.0.0.1 Returned 404 in 2 ms
 HTTP  4/24/2026 6:54:18 PM 127.0.0.1 Returned 404 in 2 ms
 HTTP  4/24/2026 6:54:18 PM 127.0.0.1 GET /news-blogs/umer-abbas-president.txt?_rsc=3lb4g
 HTTP  4/24/2026 6:54:18 PM 127.0.0.1 Returned 404 in 3 ms
 HTTP  4/24/2026 6:54:18 PM 127.0.0.1 GET /literature.txt?_rsc=3lb4g
 HTTP  4/24/2026 6:54:18 PM 127.0.0.1 GET /students-times.txt?_rsc=3lb4g
 HTTP  4/24/2026 6:54:18 PM 127.0.0.1 Returned 404 in 3 ms
 HTTP  4/24/2026 6:54:18 PM 127.0.0.1 Returned 200 in 22 ms
